"cd_sig";"code_10km";"cd_nom";"lb_nom";"annee";"nombre de données dans la maille";"fournisseurs des données";"wkt_geom_4326"
"10kmL93E028N676";"E028N676";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.61575334573699 47.8059224274596,-2.62526261726897 47.895693755239,-2.49176451108052 47.9020237860463,-2.48247944103671 47.812242106591,-2.61575334573699 47.8059224274596)))"
"10kmL93E028N677";"E028N677";60630;"Lutra lutra";2004;3;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.62526261726897 47.895693755239,-2.63480409314291 47.9854594873611,-2.5010810336905 47.9917998889448,-2.49176451108052 47.9020237860463,-2.62526261726897 47.895693755239)))"
"10kmL93E028N680";"E028N680";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.65398431339874 48.1649732496985,-2.66362338830105 48.2547208216242,-2.52922092059826 48.2610924508865,-2.5198090769947 48.1713344504344,-2.65398431339874 48.1649732496985)))"
"10kmL93E028N682";"E028N682";60630;"Lutra lutra";2004;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.67329532860502 48.3444618813148,-2.68300030239285 48.4341961988067,-2.54814106722798 48.4405887434028,-2.53866486260508 48.3508439585048,-2.67329532860502 48.3444618813148)))"
"10kmL93E029N674";"E029N674";60630;"Lutra lutra";2004;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.46400302470516 47.6326629306703,-2.47322566480726 47.7224550788266,-2.34014407761084 47.7286130923696,-2.33114430327904 47.6388108765777,-2.46400302470516 47.6326629306703)))"
"10kmL93E029N675";"E029N675";60630;"Lutra lutra";2004;3;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.47322566480726 47.7224550788266,-2.48247944103671 47.812242106591,-2.34917424269946 47.8184102062795,-2.34014407761084 47.7286130923696,-2.47322566480726 47.7224550788266)))"
"10kmL93E029N676";"E029N676";60630;"Lutra lutra";2004;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.48247944103671 47.812242106591,-2.49176451108052 47.9020237860463,-2.35823495250474 47.9082019904619,-2.34917424269946 47.8184102062795,-2.48247944103671 47.812242106591)))"
"10kmL93E029N677";"E029N677";60630;"Lutra lutra";2004;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.49176451108052 47.9020237860463,-2.5010810336905 47.9917998889448,-2.36732636202659 47.9979882167411,-2.35823495250474 47.9082019904619,-2.49176451108052 47.9020237860463)))"
"10kmL93E030N674";"E030N674";60630;"Lutra lutra";2004;5;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.33114430327904 47.6388108765777,-2.34014407761084 47.7286130923696,-2.20703209982949 47.7346197219512,-2.19825534419498 47.6448076847632,-2.33114430327904 47.6388108765777)))"
"10kmL93E031N664";"E031N664";60630;"Lutra lutra";2004;1;;"MULTIPOLYGON(((-2.11208588724349 46.7464575765995,-2.12057424425877 46.8363079973124,-1.9896312737661 46.8420682252326,-1.98135881117433 46.7522084020975,-2.11208588724349 46.7464575765995)))"
"10kmL93E031N665";"E031N665";60630;"Lutra lutra";2004;1;;"MULTIPOLYGON(((-2.12057424425877 46.8363079973124,-2.12909079740043 46.9261555936746,-1.99793122119162 46.9319252409824,-1.9896312737661 46.8420682252326,-2.12057424425877 46.8363079973124)))"
"10kmL93E031N674";"E031N674";60630;"Lutra lutra";2004;4;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.19825534419498 47.6448076847632,-2.20703209982949 47.7346197219512,-2.07389047786091 47.7404749177891,-2.06533689013953 47.6506533056192,-2.19825534419498 47.6448076847632)))"
"10kmL93E031N675";"E031N675";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.20703209982949 47.7346197219512,-2.2158384998189 47.8244266753228,-2.08247296252857 47.830291463763,-2.07389047786091 47.7404749177891,-2.20703209982949 47.7346197219512)))"
"10kmL93E031N676";"E031N676";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.2158384998189 47.8244266753228,-2.22467469438721 47.9142283171024,-2.09108449062212 47.9201027158335,-2.08247296252857 47.830291463763,-2.2158384998189 47.8244266753228)))"
"10kmL93E032N664";"E032N664";60630;"Lutra lutra";2004;1;;"MULTIPOLYGON(((-1.98135881117433 46.7522084020975,-1.9896312737661 46.8420682252326,-1.85866081859046 46.8476794169062,-1.85060438653644 46.7578104335611,-1.98135881117433 46.7522084020975)))"
"10kmL93E032N665";"E032N665";60630;"Lutra lutra";2004;1;;"MULTIPOLYGON(((-1.9896312737661 46.8420682252326,-1.99793122119162 46.9319252409824,-1.86674402328206 46.9375456094012,-1.85866081859046 46.8476794169062,-1.9896312737661 46.8420682252326)))"
"10kmL93E032N666";"E032N666";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-1.99793122119162 46.9319252409824,-2.00625879046992 47.0217792249727,-1.87485413411685 47.0274087867337,-1.86674402328206 46.9375456094012,-1.99793122119162 46.9319252409824)))"
"10kmL93E032N675";"E032N675";60630;"Lutra lutra";2004;2;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.07389047786091 47.7404749177891,-2.08247296252857 47.830291463763,-1.94907838197758 47.8360045228879,-1.94071995910993 47.7461786313425,-2.07389047786091 47.7404749177891)))"
"10kmL93E032N676";"E032N676";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-2.08247296252857 47.830291463763,-2.09108449062212 47.9201027158335,-1.95746509612786 47.9258251377705,-1.94907838197758 47.8360045228879,-2.08247296252857 47.830291463763)))"
"10kmL93E033N673";"E033N673";60630;"Lutra lutra";2004;2;;"MULTIPOLYGON(((-1.92408741727171 47.566511928498,-1.9323896847979 47.6563476907753,-1.79941447282852 47.6618907931,-1.79133491486814 47.5720459658387,-1.92408741727171 47.566511928498)))"
"10kmL93E033N674";"E033N674";60630;"Lutra lutra";2004;2;;"MULTIPOLYGON(((-1.9323896847979 47.6563476907753,-1.94071995910993 47.7461786313425,-1.80752129196274 47.7517308153137,-1.79941447282852 47.6618907931,-1.9323896847979 47.6563476907753)))"
"10kmL93E034N673";"E034N673";60630;"Lutra lutra";2004;2;;"MULTIPOLYGON(((-1.79133491486814 47.5720459658387,-1.79941447282852 47.6618907931,-1.66641199983929 47.6672825667013,-1.65855528855289 47.5774289209225,-1.79133491486814 47.5720459658387)))"
"10kmL93E035N659";"E035N659";60630;"Lutra lutra";2004;7;;"MULTIPOLYGON(((-1.55127226065383 46.3191014880567,-1.55877137700685 46.4089985088383,-1.42879775617755 46.4141203105858,-1.42151153610728 46.3242149325206,-1.55127226065383 46.3191014880567)))"
"10kmL93E035N660";"E035N660";60630;"Lutra lutra";2004;5;;"MULTIPOLYGON(((-1.55877137700685 46.4089985088383,-1.56629521908557 46.4988938864458,-1.43610800453574 46.5040240604384,-1.42879775617755 46.4141203105858,-1.55877137700685 46.4089985088383)))"
"10kmL93E035N661";"E035N661";60630;"Lutra lutra";2004;3;;"MULTIPOLYGON(((-1.56629521908557 46.4988938864458,-1.57384390924134 46.5887873983781,-1.44344240011194 46.5939259596322,-1.43610800453574 46.5040240604384,-1.56629521908557 46.4988938864458)))"
"10kmL93E035N662";"E035N662";60630;"Lutra lutra";2004;6;;"MULTIPOLYGON(((-1.57384390924134 46.5887873983781,-1.58141757063319 46.678678821794,-1.45080106262156 46.6838257853811,-1.44344240011194 46.5939259596322,-1.57384390924134 46.5887873983781)))"
"10kmL93E035N663";"E035N663";60630;"Lutra lutra";2004;5;;"MULTIPOLYGON(((-1.58141757063319 46.678678821794,-1.58901632723445 46.7685679335125,-1.45818411257183 46.7737233145601,-1.45080106262156 46.6838257853811,-1.58141757063319 46.678678821794)))"
"10kmL93E035N669";"E035N669";60630;"Lutra lutra";2004;1;"Groupe Mammalogique Breton (GMB)";"MULTIPOLYGON(((-1.62739093530718 47.2179709816596,-1.63514291306527 47.3078415175072,-1.50300139836548 47.313047724168,-1.49546944794405 47.2231686789011,-1.62739093530718 47.2179709816596)))"
"10kmL93E036N629";"E036N629";60630;"Lutra lutra";2004;1;;"MULTIPOLYGON(((-1.21353862429698 43.6273856553781,-1.22015565160606 43.7172381638295,-1.09625935438608 43.7219745623338,-1.08983588478926 43.6321143504045,-1.21353862429698 43.6273856553781)))"
